,probabilidad,promedios,varianzas
0,0.01,0.0,0.0
1,0.02,0.0,0.0
2,0.03,0.0,0.0
3,0.04,0.0,0.0
4,0.05,0.0,0.0
5,0.06,0.0,0.0
6,0.07,0.0,0.0
7,0.08,0.0,0.0
8,0.09,0.0,0.0
9,0.1,0.0,0.0
10,0.11,0.0,0.0
11,0.12,0.0,0.0
12,0.13,0.0,0.0
13,0.14,0.0,0.0
14,0.15,0.0,0.0
15,0.16,0.0,0.0
16,0.17,0.0,0.0
17,0.18,0.0,0.0
18,0.19,0.0,0.0
19,0.2,0.0,0.0
20,0.21,0.0,0.0
21,0.22,0.0,0.0
22,0.23,0.0,0.0
23,0.24,0.0,0.0
24,0.25,0.0,0.0
25,0.26,0.0,0.0
26,0.27,0.0,0.0
27,0.28,0.0,0.0
28,0.29,0.0,0.0
29,0.3,0.0,0.0
30,0.31,0.0,0.0
31,0.32,0.0,0.0
32,0.33,0.0,0.0
33,0.34,0.0,0.0
34,0.35,0.0,0.0
35,0.36,0.0,0.0
36,0.37,0.0,0.0
37,0.38,0.0,0.0
38,0.39,0.0,0.0
39,0.4,0.0,0.0
40,0.41,0.0,0.0
41,0.42,0.0,0.0
42,0.43,0.0,0.0
43,0.44,0.0,0.0
44,0.45,0.001,0.0009990000000000003
45,0.46,0.0015,0.0014977500000000002
46,0.47,0.002,0.001996
47,0.48,0.005,0.004975000000000002
48,0.49,0.007,0.006950999999999998
49,0.5,0.011,0.010879000000000005
50,0.51,0.022,0.021516000000000004
51,0.52,0.036,0.03470399999999999
52,0.53,0.06,0.05640000000000001
53,0.54,0.0965,0.08718775
54,0.55,0.1475,0.12574375000000002
55,0.56,0.21,0.1659
56,0.57,0.2775,0.20049375000000003
57,0.58,0.3705,0.23322974999999993
58,0.59,0.4745,0.24934975000000004
59,0.6,0.5775,0.24399374999999998
60,0.61,0.681,0.21723899999999993
61,0.62,0.7675,0.17844374999999996
62,0.63,0.844,0.13166399999999998
63,0.64,0.898,0.091596
64,0.65,0.9405,0.05595975
65,0.66,0.9625,0.036093750000000015
66,0.67,0.983,0.016710999999999997
67,0.68,0.9925,0.00744375
68,0.69,0.9955,0.004479750000000001
69,0.7,0.9985,0.0014977499999999997
70,0.71,0.999,0.0009990000000000003
71,0.72,1.0,0.0
72,0.73,1.0,0.0
73,0.74,1.0,0.0
74,0.75,1.0,0.0
75,0.76,1.0,0.0
76,0.77,1.0,0.0
77,0.78,1.0,0.0
78,0.79,1.0,0.0
79,0.8,1.0,0.0
80,0.81,1.0,0.0
81,0.82,1.0,0.0
82,0.83,1.0,0.0
83,0.84,1.0,0.0
84,0.85,1.0,0.0
85,0.86,1.0,0.0
86,0.87,1.0,0.0
87,0.88,1.0,0.0
88,0.89,1.0,0.0
89,0.9,1.0,0.0
90,0.91,1.0,0.0
91,0.92,1.0,0.0
92,0.93,1.0,0.0
93,0.94,1.0,0.0
94,0.95,1.0,0.0
95,0.96,1.0,0.0
96,0.97,1.0,0.0
97,0.98,1.0,0.0
98,0.99,1.0,0.0
